2022-04-03 11:54:22,878 [INFO] Starting web server
2022-04-03 11:54:23,878 [ERROR] UDP Timeout
2022-04-03 11:54:24,880 [ERROR] UDP Timeout
2022-04-03 11:54:25,469 [INFO] User interrupt
2022-04-03 11:54:25,483 [INFO] Closing serial
2022-04-03 11:54:29,987 [INFO] Starting web server
2022-04-03 11:54:30,989 [ERROR] UDP Timeout
2022-04-03 11:54:31,991 [ERROR] UDP Timeout
2022-04-03 11:54:33,647 [INFO] User interrupt
2022-04-03 11:54:33,696 [INFO] Closing serial
2022-04-03 11:54:45,822 [INFO] Starting web server
2022-04-03 11:54:46,822 [ERROR] UDP Timeout
2022-04-03 11:54:47,824 [ERROR] UDP Timeout
2022-04-03 11:54:49,788 [INFO] User interrupt
2022-04-03 11:54:49,830 [INFO] Closing serial
2022-04-03 11:54:50,370 [ERROR] UDP Timeout
2022-04-03 11:54:50,371 [INFO] Reset enable
2022-04-03 11:55:03,669 [INFO] Starting web server
2022-04-03 11:55:04,670 [ERROR] UDP Timeout
2022-04-03 11:55:05,672 [ERROR] UDP Timeout
2022-04-03 11:55:10,627 [ERROR] UDP Timeout
2022-04-03 11:55:11,629 [ERROR] UDP Timeout
2022-04-03 11:55:12,631 [ERROR] UDP Timeout
2022-04-03 11:55:13,633 [ERROR] UDP Timeout
2022-04-03 11:55:14,636 [ERROR] UDP Timeout
2022-04-03 11:55:15,637 [ERROR] UDP Timeout
2022-04-03 11:55:16,639 [ERROR] UDP Timeout
2022-04-03 11:55:17,641 [ERROR] UDP Timeout
2022-04-03 11:55:18,209 [INFO] User interrupt
2022-04-03 11:55:18,300 [INFO] Closing serial
2022-04-03 11:55:18,644 [ERROR] UDP Timeout
2022-04-03 11:55:19,646 [ERROR] UDP Timeout
2022-04-03 11:55:19,646 [INFO] Reset enable
2022-04-03 11:55:20,648 [ERROR] UDP Timeout
2022-04-03 11:55:20,648 [INFO] Set mode to STOP
2022-04-03 11:55:21,650 [ERROR] UDP Timeout
2022-04-03 11:55:55,535 [INFO] Starting web server
2022-04-03 11:56:08,997 [INFO] 304 GET / (::1) 9.00ms
2022-04-03 11:56:09,058 [INFO] 200 GET /static/panTilt.js (::1) 7.11ms
2022-04-03 11:56:09,101 [INFO] 101 GET /websocket (::1) 1.32ms
2022-04-03 11:56:09,101 [INFO] WebSocket opened
2022-04-03 11:56:40,615 [INFO] User interrupt
2022-04-03 11:56:40,638 [INFO] Closing serial
2022-04-03 11:56:41,889 [INFO] Reset enable
2022-04-03 11:56:41,894 [INFO] Set mode to STOP
2022-04-03 11:56:41,900 [INFO] Spot micro terminated
2022-04-03 12:01:29,575 [INFO] Starting web server
2022-04-03 12:01:38,343 [INFO] User interrupt
2022-04-03 12:01:38,395 [INFO] Closing serial
2022-04-03 12:01:39,062 [INFO] Reset enable
2022-04-03 12:01:39,066 [INFO] Set mode to STOP
